Team,Age,W,L,WL_percent,PW,PL,OPtg,DRtg,NRtg,Pace,FTr,3PAr,TS_percent,eFG_percent_offense,TOV_percent_offense,ORB_percent,FT/FGA_offense,eFG_percent_defense,TOV_percent_defense,DRB_percent,FT/FGA_defense,Year
Dallas Mavericks,27.2,14,9,0.609,15,8,110.2,105.7,4.5,88.9,0.35,0.188,0.54,0.481,12.2,29.2,0.283,0.506,14.2,77.7,0.28,2006
Miami Heat,29.4,16,7,0.696,15,8,106.2,102,4.2,90.3,0.427,0.264,0.559,0.525,15.3,24.6,0.28,0.47,13.8,76.6,0.265,2006
Los Angeles Clippers,26.8,7,5,0.583,7,5,111.6,107.7,3.9,93.1,0.331,0.148,0.571,0.519,14.3,28.6,0.27,0.479,10.2,75.9,0.216,2006
Detroit Pistons,29.1,10,8,0.556,11,7,107.9,104.2,3.7,84.9,0.382,0.249,0.528,0.478,12,27.9,0.277,0.494,14.7,72.6,0.225,2006
San Antonio Spurs,30,7,6,0.538,7,6,114,111.6,2.4,88.3,0.42,0.207,0.587,0.533,13.2,22.6,0.326,0.486,12,71.1,0.312,2006
Phoenix Suns,26.8,10,10,0.5,11,9,113.7,112.5,1.2,92.3,0.259,0.283,0.579,0.538,11.1,19,0.216,0.507,12.4,69.7,0.237,2006
Washington Wizards,26.4,2,4,0.333,3,3,109.4,109.2,0.2,89.8,0.424,0.244,0.545,0.488,12.1,26.7,0.316,0.489,14.1,68.3,0.268,2006
New Jersey Nets,28.7,5,6,0.455,5,6,106.5,107.6,-1.1,88.4,0.351,0.23,0.538,0.487,12.7,24.9,0.267,0.517,15,77.6,0.313,2006
Chicago Bulls,23.9,2,4,0.333,2,4,104.2,107.4,-3.2,94.4,0.397,0.26,0.548,0.497,15,21.6,0.295,0.514,14.7,73.2,0.261,2006
Cleveland Cavaliers,26.8,7,6,0.538,5,8,103.7,107.4,-3.7,85.8,0.322,0.172,0.515,0.465,14.1,30.7,0.246,0.48,12.6,72.1,0.284,2006
Indiana Pacers,27.5,2,4,0.333,2,4,103.2,107.5,-4.3,86.5,0.386,0.277,0.543,0.491,16.1,23.1,0.289,0.479,12,73.4,0.279,2006
Los Angeles Lakers,25.2,3,4,0.429,2,5,106.5,113.6,-7.1,91.7,0.284,0.258,0.538,0.497,13.8,26.8,0.216,0.543,11.5,84.7,0.251,2006
Denver Nuggets,27.6,1,4,0.2,1,4,95,103.2,-8.2,92,0.308,0.159,0.449,0.397,10.8,29.2,0.224,0.493,16.8,76.8,0.297,2006
Sacramento Kings,27,2,4,0.333,1,5,108.8,119.5,-10.7,87.9,0.369,0.2,0.536,0.477,12.5,29,0.292,0.566,13.3,75,0.296,2006
Milwaukee Bucks,25.5,1,4,0.2,1,4,110.2,121.1,-10.9,88.5,0.267,0.155,0.545,0.504,12.8,26.6,0.209,0.544,10.5,70.6,0.338,2006
Memphis Grizzlies,28.2,0,4,0,0,4,99,115.5,-16.5,82.9,0.425,0.18,0.534,0.479,16.9,22,0.308,0.487,12.5,65.4,0.306,2006
Phoenix Suns,27.9,6,5,0.545,7,4,110.6,105.3,5.3,94.1,0.298,0.229,0.562,0.52,13,23.4,0.232,0.492,13.8,71.6,0.213,2007
San Antonio Spurs,30.8,16,4,0.8,13,7,107.6,103.1,4.5,88.9,0.317,0.256,0.547,0.508,13.7,26.4,0.229,0.471,13.9,72.4,0.228,2007
Detroit Pistons,29.5,10,6,0.625,10,6,105.2,101.8,3.4,85.8,0.346,0.219,0.522,0.468,13.2,28.7,0.266,0.462,14.3,70.9,0.275,2007
Cleveland Cavaliers,25.8,12,8,0.6,12,8,102.5,100,2.5,85.7,0.341,0.217,0.506,0.456,12.9,28.6,0.252,0.464,13.8,76.6,0.233,2007
New Jersey Nets,28.3,6,6,0.5,7,5,101.7,99.6,2.1,88.7,0.318,0.284,0.539,0.497,16.1,21.8,0.236,0.463,14.1,76.4,0.257,2007
Golden State Warriors,25.3,5,6,0.455,6,5,110.9,109.1,1.8,95.3,0.376,0.382,0.563,0.518,13.6,25.5,0.277,0.493,16.9,63.9,0.307,2007
Chicago Bulls,26.1,6,4,0.6,5,5,103.4,102.1,1.3,89.4,0.39,0.22,0.522,0.469,14.7,28.5,0.284,0.475,13.8,73,0.225,2007
Utah Jazz,26.1,9,8,0.529,9,8,106.9,105.9,1,91,0.349,0.159,0.534,0.486,14.9,31.4,0.261,0.498,14.5,76.1,0.294,2007
Houston Rockets,27.7,3,4,0.429,3,4,99.6,103.2,-3.6,87.6,0.363,0.308,0.52,0.46,15,24.3,0.286,0.467,11.8,75,0.194,2007
Toronto Raptors,25.5,2,4,0.333,2,4,101,106.9,-5.9,89.9,0.347,0.197,0.536,0.478,14.8,19,0.279,0.521,15.7,76.3,0.235,2007
Denver Nuggets,26.8,1,4,0.2,1,4,100.7,107.5,-6.8,87.6,0.264,0.181,0.498,0.452,14.6,31.6,0.207,0.493,11.9,71.7,0.149,2007
Dallas Mavericks,27.6,2,4,0.333,2,4,105.7,112.8,-7.1,93.2,0.371,0.274,0.524,0.466,14.8,31.9,0.287,0.53,14.2,71.9,0.272,2007
Washington Wizards,27.8,0,4,0,1,3,103.5,113.4,-9.9,88.4,0.262,0.247,0.494,0.45,8.6,21.9,0.202,0.49,12.8,67.7,0.326,2007
Orlando Magic,25.7,0,4,0,1,3,102.9,113.5,-10.6,85.5,0.394,0.1,0.519,0.495,14.8,28.3,0.228,0.495,10.7,71.2,0.33,2007
Los Angeles Lakers,25.6,1,4,0.2,1,4,103.8,114.8,-11,94.4,0.251,0.23,0.513,0.479,13.7,31.4,0.181,0.528,11.5,74.9,0.225,2007
Miami Heat,29.9,0,4,0,1,3,96.9,108.9,-12,91.6,0.365,0.227,0.512,0.482,14.5,19.6,0.224,0.505,13.9,74.3,0.257,2007
Boston Celtics,28.9,16,10,0.615,18,8,109.4,103.3,6.1,85.9,0.354,0.224,0.541,0.487,12.9,29.5,0.277,0.463,14.4,74.6,0.313,2008
New Orleans Hornets,26.7,7,5,0.583,8,4,111.5,107.3,4.2,86.6,0.25,0.173,0.537,0.499,8.9,24.2,0.193,0.483,12.3,73.2,0.235,2008
Detroit Pistons,28.8,10,7,0.588,10,7,108,105.2,2.8,84.7,0.32,0.179,0.538,0.485,13.2,27.7,0.257,0.478,14.7,68.7,0.275,2008
Cleveland Cavaliers,27.1,7,6,0.538,8,5,104.6,102.1,2.5,85.9,0.395,0.262,0.517,0.465,13.7,29.1,0.285,0.46,13.4,75.2,0.285,2008
Los Angeles Lakers,27.4,14,7,0.667,12,9,110,107.6,2.4,92.7,0.371,0.241,0.56,0.512,12.7,22.2,0.279,0.477,12.3,71.1,0.255,2008
Orlando Magic,26.4,5,5,0.5,6,4,111,109.2,1.8,87.5,0.322,0.336,0.564,0.529,14.4,29,0.229,0.464,8.9,75,0.226,2008
Utah Jazz,25.4,6,6,0.5,6,6,110.1,110.4,-0.3,89.1,0.33,0.204,0.528,0.481,12.1,33.4,0.247,0.49,12.2,73.7,0.314,2008
San Antonio Spurs,31.6,9,8,0.529,8,9,103.9,104.8,-0.9,89.5,0.261,0.252,0.529,0.493,12.6,21.4,0.194,0.486,10.8,77.6,0.197,2008
Phoenix Suns,29.4,1,4,0.2,2,3,104.1,106.1,-2,92.6,0.369,0.18,0.524,0.492,11.5,21.9,0.235,0.493,11.9,76.3,0.216,2008
Houston Rockets,29,2,4,0.333,2,4,103.8,106.7,-2.9,84.8,0.333,0.254,0.488,0.446,10.7,29.8,0.227,0.482,12.4,69.3,0.231,2008
Washington Wizards,27.7,2,4,0.333,2,4,104.9,108.7,-3.8,87.9,0.386,0.262,0.524,0.466,12.3,23.4,0.295,0.485,13.2,67.8,0.265,2008
Toronto Raptors,26.2,1,4,0.2,2,3,110.1,115.2,-5.1,90.3,0.224,0.28,0.528,0.484,9.6,23.1,0.194,0.533,13.3,69.7,0.26,2008
Philadelphia 76ers,25,2,4,0.333,2,4,99.8,107.9,-8.1,86,0.402,0.105,0.488,0.43,14.4,33.9,0.29,0.523,17,67,0.188,2008
